# {'date': u'2016_May_04_1211', 'frameRate': None, 'expName': 'RNGT', u'participant': u'008'}
subj,time,stimulus,response
008,168.0003393211,1,
008,168.1038051855,0,b
008,169.0003614034,1,
008,169.1358276386,0,n
008,170.0002245553,1,
008,170.0798247349,0,bracketright
008,171.0003893950,1,
008,171.0958272529,0,minus
008,172.0003085302,1,
008,172.1917705157,0,0
008,173.0004242291,1,
008,173.1437834889,0,5
008,174.0003271913,1,
008,174.1197918416,0,9
008,175.0003290575,1,
008,175.1117386425,0,9
008,176.0003607813,1,
008,176.1277318300,0,0
008,177.0003551830,1,
008,177.0557310736,0,0
008,178.0003610923,1,
008,178.0797273862,0,4
008,179.0003729110,1,
008,179.0957183965,0,bracketright
008,180.0003666907,1,
008,180.0716962694,0,q
008,181.0003803755,1,
008,181.0716975135,0,3
008,182.0003741551,1,
008,182.0876847916,0,minus
008,183.0004002807,1,
008,183.0796760681,0,0
008,184.0003554940,1,
008,184.1196549935,0,3
008,185.0003648246,1,
008,185.0956574369,0,4
008,186.0002628105,1,
008,186.0796396790,0,0
008,187.0003147506,1,
008,187.0476551702,0,4
008,188.0003125735,1,
008,188.0956596140,0,9
008,189.0003147506,1,
008,189.0956400199,0,bracketright
008,190.0003306125,1,
008,190.1276142650,0,b
008,191.0003268803,1,
008,191.1195940339,0,n
008,192.0003156837,1,
008,192.2075820684,0,b
008,193.0003464745,1,
008,193.1035949371,0,n
008,194.0003256363,1,
008,194.0875588291,0,n
008,195.0003346558,1,
008,195.1195582668,0,b
008,196.0003107074,1,
008,196.1035479733,0,q
008,197.0003184828,1,
008,197.0635466546,0,bracketright
008,198.0003368329,1,
008,198.1035395758,0,minus
008,199.0003800645,1,
008,199.0955221439,0,3
008,200.0003461635,1,
008,200.1515119848,0,4
008,200.3195297153,0,0
008,201.0003548720,1,
008,201.1675020621,0,0
008,202.0003582932,1,
008,202.0714934854,0,4
008,203.0003766433,1,
008,203.2074878299,0,9
008,204.0004077451,1,
008,204.1274665313,0,4
008,205.0003094633,1,
008,205.0794913232,0,3
008,206.0003352778,1,
008,206.1114714777,0,minus
008,207.0003455414,1,
008,207.1114543717,0,0
008,208.0003931272,1,
008,208.0874288234,0,3
008,209.0003502067,1,
008,209.0874300675,0,bracketright
008,210.0003166167,1,
008,210.0554169450,0,minus
008,211.0003530059,1,
008,211.2714210803,0,q
008,212.0003072862,1,
008,212.1113996325,0,q
008,213.0003539389,1,
008,213.0474063555,0,b
008,214.0003187938,1,
008,214.0873712850,0,n
008,215.0003299905,1,
008,215.1673720564,0,5
008,216.0003166167,1,
008,216.0633504020,0,4
