# {'date': u'2016_Apr_29_1241', 'frameRate': None, 'expName': 'RNGT', u'participant': u'004'}
subj,time,stimulus,response
004,152.9822431874,0,0
004,153.0003626442,1,
004,154.0004170719,1,
004,154.0782739133,0,9
004,155.0003358968,1,
004,155.0622180449,0,5
004,156.0003464714,1,
004,156.0062010287,0,q
004,156.9501706387,0,3
004,157.0003209681,1,
004,157.9581596959,0,b
004,158.0003290545,1,
004,159.0003418061,1,
004,159.0381323763,0,4
004,160.0003701085,1,
004,160.0061329162,0,b
004,160.9981024939,0,n
004,161.0003247003,1,
004,162.0003212791,1,
004,162.0140880728,0,9
004,163.0004139617,1,
004,163.0941117597,0,0
004,164.0003212791,1,
004,164.0380795037,0,minus
004,165.0003346528,1,
004,165.0300490814,0,3
004,166.0003735297,1,
004,166.0300151807,0,4
004,167.0003539357,1,
004,167.0459792994,0,q
004,168.0003461603,1,
004,168.0939690036,0,3
004,168.9899454883,0,b
004,169.0003225232,1,
004,169.9579587799,0,5
004,170.0003906356,1,
004,170.9979105973,0,9
004,171.0003492705,1,
004,172.0003411841,1,
004,172.0858972162,0,bracketright
004,173.0003536247,1,
004,173.1258792022,0,minus
004,174.0003125707,1,
004,174.1338623501,0,n
004,175.0003047953,1,
004,175.0378418878,0,4
004,176.0003433612,1,
004,176.0458328111,0,3
004,177.0003327867,1,
004,177.1338013910,0,5
004,178.0003122596,1,
004,178.1497863478,0,9
004,179.0003187910,1,
004,179.1177676048,0,n
004,180.0003318536,1,
004,180.1417546815,0,b
004,181.0003103935,1,
004,181.1737420120,0,4
004,182.0003673094,1,
004,182.0697660821,0,q
004,183.0003159918,1,
004,183.0777358563,0,3
004,183.9736756412,0,q
004,184.0003178579,1,
004,185.0003150588,1,
004,185.0776720981,0,5
004,186.0003318536,1,
004,186.0616411110,0,4
004,187.0003131927,1,
004,187.0696186607,0,b
004,188.0003265664,1,
004,188.0776098950,0,9
004,189.0003461603,1,
004,189.1255980441,0,3
004,189.9895756908,0,0
004,190.0003436722,1,
004,191.0004665234,1,
004,191.0455591174,0,minus
004,192.0003595340,1,
004,192.0535260925,0,3
004,192.9655024628,0,4
004,193.0003402510,1,
004,194.0003679314,1,
004,194.0054875589,0,5
004,195.0003343417,1,
004,195.1574790072,0,9
004,195.9574627100,0,0
004,196.0003530027,1,
004,196.9494434843,0,bracketright
004,197.0003309206,1,
004,197.9174126116,0,minus
004,198.0003346528,1,
004,199.0003554908,1,
004,199.1494268138,0,n
004,200.0003887695,1,
004,200.1894000914,0,n
004,200.9893610900,0,4
004,201.0003253223,1,
004,202.0003147478,1,
004,202.0933597240,0,4
004,203.0003362078,1,
004,203.1573210113,0,4
004,204.0003107046,1,
004,204.1173026365,0,5
004,205.0003312316,1,
004,205.1652867424,0,0
004,206.0003203460,1,
004,206.1652687035,0,9
004,207.0003194130,1,
004,207.1172516300,0,minus
004,208.0003340307,1,
004,208.1012287293,0,9
004,209.0003163028,1,
004,209.0212109516,0,0
004,210.0002957758,1,
004,210.0292093393,0,bracketright
004,210.7891715571,0,minus
004,211.0003191020,1,
004,212.0003116376,1,
004,212.0931746698,0,4
004,213.0003212791,1,
004,213.0851395822,0,3
004,214.0003265664,1,
004,214.0931326827,0,b
004,215.0003396290,1,
004,215.0771156913,0,3
004,216.0003446053,1,
004,216.1010893943,0,q
004,217.0003287435,1,
004,217.1570893047,0,3
004,218.0012213582,1,
004,218.1570712658,0,5
004,219.0003632662,1,
004,219.0690280421,0,4
004,220.0003520696,1,
004,220.1410216178,0,0
004,221.0003265664,1,
004,221.1969866944,0,n
004,221.9889642341,0,9
004,222.0002880004,1,
004,223.0004021431,1,
004,223.0369536273,0,4
004,224.0003492705,1,
004,224.1089319632,0,b
004,225.0003747738,1,
004,225.0929106175,0,9
004,226.0003921906,1,
004,226.1169113789,0,5
004,227.0003172359,1,
004,227.1328736316,0,9
004,228.0003209681,1,
004,228.0848584242,0,3
004,229.0003380739,1,
004,229.2368501835,0,minus
004,230.0003987220,1,
004,230.1328387978,0,n
004,231.0003159918,1,
004,231.3008043174,0,4
004,232.0003060393,1,
004,232.0847769381,0,9
004,233.0003219011,1,
004,233.0687658560,0,5
004,234.0003278104,1,
004,234.1007746465,0,minus
004,235.0003302985,1,
004,235.0607590708,0,3
004,236.0003222121,1,
004,236.0847427264,0,minus
004,237.0003156808,1,
004,237.0206828471,0,4
004,237.9166655522,0,n
004,238.0003159918,1,
004,238.9806551419,0,5
004,239.0003023071,1,
004,240.0003293655,1,
004,240.0846603072,0,b
004,241.0003141257,1,
004,241.1326207759,0,n
004,241.8366188501,0,4
004,242.0003240782,1,
004,242.9885866612,0,minus
